Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Austria,AUT,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,7.84036069275138
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,26.0904948643547
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10153958
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7133.02838048328
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.5075350483702
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Azerbaijan,AZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1732.19739502846
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,122.854906231095
Azerbaijan,AZE,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.00670201708536
Azerbaijan,AZE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,45.8408458162374
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,399440
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,38231.774484278
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.3213799173676
"Bahamas, The",BHS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
"Bahamas, The",BHS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,39.9040959040959
"Bahamas, The",BHS,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.47902062888043
"Bahamas, The",BHS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,9.77716369922666
Bahrain,BHR,"Population, total",SP.POP.TOTL,1577059
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,29290.1284215098
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bahrain,BHR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bahrain,BHR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,10511.6129705274
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1971.32375
Bahrain,BHR,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,41.1539454135831
Bahrain,BHR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,43.4381277604186
Bangladesh,BGD,"Population, total",SP.POP.TOTL,171466990
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2551.01773827307
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.1578465036834
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,287.753137358845
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1319.17979689183
Bangladesh,BGD,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.25874782079046
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,34.5942721606063
Barbados,BRB,"Population, total",SP.POP.TOTL,282336
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,25583.878782727
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.4235740235775
Barbados,BRB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Barbados,BRB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,656.595348837209
Barbados,BRB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.14837640258415
